ra	dec	name
 190.677740	 55.145510	NGC4644 
 231.533090	 41.676060	NGC5930 
 345.327870	 14.339570	UGC12308 
 351.665670	 25.080140	NGC7664 
 20.445210	 5.256720	NGC488 
 123.193540	 26.361780	NGC2540 
 139.007470	 17.589820	PGC26140 
 190.386880	 41.150780	NGC4618 
 79.924570	 84.052590	UGC3253 
 177.314040	 56.084360	NGC3898 
 180.711170	 48.636200	NGC4047 
 13.017960	 47.550500	NGC278 
 347.238250	 12.048030	UGC12391 
 163.016130	 10.148310	NGC3433 
 151.414000	 80.285690	NGC3057 
 45.894790	 46.386360	NGC1169 
 103.114130	 57.162780	PGC19767 
 10.366790	 25.499440	NGC214 
 158.198180	 15.860830	PGC31159 
 187.407420	 7.824190	NGC4470 
 7.849620	 8.466830	UGC312 
 353.101750	 15.847830	NGC7691 
 201.433580	 -29.833670	NGC5135 
 36.655460	 12.155330	UGC1908 
 111.766870	 80.178080	UGC3809 
 179.117200	 55.125240	UGC6918 
 183.815980	 65.985340	NGC4210 
 279.801040	 55.641810	UGC11318 
 351.205660	 15.275590	NGC7653 
 193.657480	 46.531160	NGC4800 
 213.709890	 15.146890	NGC5522 
 181.474830	 -14.526420	NGC4094 
 176.769040	 -16.854610	NGC3887 
 345.014960	 15.980330	NGC7448 
 179.717510	 42.722470	IC750 
 183.193540	 10.865970	NGC4178 
 29.926170	 -5.963190	NGC779 
 189.431340	 11.818190	NGC4579 
 219.421150	 2.290820	NGC5690 
 108.572670	 84.382280	NGC2268 
 182.968630	 24.123670	NGC4162 
 8.564500	 -27.803580	NGC150 
 210.549170	 55.814030	NGC5443 
 338.942460	 -26.050470	NGC7314 
 218.195190	 49.457900	NGC5676 
 196.282080	 -6.493830	NGC4951 
 161.766880	 17.273620	NGC3370 
 221.546340	 -0.222950	NGC5750 
 134.335440	 2.921310	NGC2713 
 138.429250	 76.475330	NGC2748 
 10.145920	 -13.872810	NGC210 
 19.936880	 3.409940	NGC470 
 245.452580	 -2.283440	NGC6118 
 163.047520	 32.950430	NGC3430 
 51.257020	 -5.745800	NGC1324 
 175.327740	 36.546800	NGC3813 
 215.544640	 13.918060	NGC5587 
 181.504710	 47.478440	NGC4096 
 190.153540	 -5.133000	NGC4602 
 11.947110	 -11.468700	NGC255 
 54.370200	 -24.500300	NGC1385 
 176.532080	 47.494350	NGC3877 
 189.618330	 4.319080	NGC4586 
 193.338420	 1.269090	NGC4771 
 139.082290	 -23.633250	NGC2815 
 342.953080	 -20.608080	NGC7392 
 54.847080	 -31.321420	NGC1406 
 217.606280	 35.321030	NGC5656 
 30.202570	 -9.002570	NGC787 
 182.559120	 -29.736810	IC764 
 28.248670	 12.708470	NGC716 
 354.702710	 -6.517860	NGC7721 
 330.665920	 -20.812830	NGC7184 
 216.086250	 36.461420	NGC5616 
 154.410690	 21.688250	NGC3185 
 183.451190	 14.900330	NGC4192 
 177.689300	 51.824660	NGC3917 
 189.914270	 -5.344260	NGC4593 
 55.236920	 -22.564470	NGC1415 
 173.338010	 47.029210	NGC3726 
 184.960800	 29.614480	NGC4274 
 194.504970	 1.575840	NGC4845 
 53.012580	 -20.819170	NGC1353 
 214.803270	 24.798730	NGC5559 
 50.527330	 -15.400060	NGC1309 
 184.048800	 47.883260	NGC4220 
 214.032260	 35.343830	NGC5533 
 83.340670	 -21.945780	NGC1964 
 147.150210	 33.421500	NGC3003 
 52.024830	 -8.388610	NGC1337 
 154.652290	 -17.982530	NGC3200 
 150.490850	 55.679790	NGC3079 
 170.015880	 18.356840	NGC3626 
 197.797250	 43.726330	UGC8267 
 208.027790	 38.067030	UGC8778 
 153.562710	 3.466080	NGC3169 
 193.371510	 2.168380	NGC4772 
 11.943490	 -9.835050	MCG-02-03-015 
 207.878630	 14.092220	IC944 
 142.543040	 7.902750	IC540 
 163.980260	 36.861520	UGC6036 
 7.898830	 -10.506310	MCG-02-02-040 
 258.161320	 23.270070	NGC6314 
 27.295120	 -10.426430	NGC681 
 123.996240	 23.199620	IC2247 
 241.667420	 30.099080	UGC10205 
 189.997420	 61.609190	NGC4605 
 64.309080	 4.781640	NGC1542 
 144.218250	 66.788390	UGC5111 
 153.020830	 23.087500	UGC5498 
 188.189960	 0.115030	NGC4517 
 225.385230	 48.319740	UGC9665 
 69.340960	 9.544470	UGC3107 
 149.587830	 32.369890	NGC3067 
 165.317620	 3.627930	NGC3495 
 243.870080	 18.904860	UGC10297 
 170.062350	 12.991540	NGC3627 
 267.360130	 70.144370	NGC6503 
 187.168940	 9.258810	NGC4451 
 303.916040	 -13.622030	MCG-02-51-004 
 235.376670	 15.787670	NGC5980 
 171.260290	 -9.795390	NGC3672 
 245.911840	 11.786240	NGC6132 
 187.123460	 17.084940	NGC4450 
 171.535750	 43.585920	NGC3675 
 155.877410	 19.865050	NGC3227 
 306.277620	 -24.809170	NGC6907 
 346.236040	 12.322890	NGC7479 
 192.095450	 8.487380	NGC4698 
 70.367410	 -2.857960	NGC1637 
 153.479480	 38.842840	NGC3160 
 101.204620	 -27.638610	NGC2280 
 22.221910	 13.793790	UGC1057 
 198.364440	 36.593940	NGC5033 
 244.338050	 59.320120	UGC10331 
 339.266720	 34.415520	NGC7331 
 197.734300	 37.059210	NGC5005 
 39.871210	 -8.132940	NGC1035 
 40.701250	 28.574190	NGC1056 
 37.702710	 37.136780	NGC949 
 341.101540	 -0.162090	NGC7364 
 42.067290	 34.419780	NGC1093 
 356.008580	 0.516630	NGC7738 
 185.609580	 29.209030	NGC4310 
 190.927630	 16.393390	UGC7901 
 29.290780	 14.549880	IC1755 
 7.530450	 -11.113640	MCG-02-02-030 
 185.728460	 15.821820	NGC4321 
 237.855120	 62.310030	NGC6015 
 177.289420	 27.022040	NGC3900 
 233.216450	 41.191440	UGC9892 
 358.474540	 7.970560	NGC7782 
 1.307870	 6.772000	UGC36 
 55.622000	 -13.488030	NGC1421 
 246.694510	 11.580270	UGC10384 
 187.996500	 14.420390	NGC4501 
 182.462460	 38.218610	UGC7145 
 8.694830	 -8.396440	NGC157 
 153.675460	 -28.872060	NGC3175 
 178.423840	 47.858710	NGC3949 
 232.461050	 42.628930	UGC9873 
 218.023370	 57.921440	NGC5678 
 159.260520	 -27.565070	NGC3312 
 204.383430	 8.885180	NGC5248 
 9.215000	 23.990920	NGC169 
 210.853540	 -6.069110	NGC5426 
 166.452420	 -0.035860	NGC3521 
 0.332370	 34.525720	IC5376 
 72.926000	 -6.231440	IC 2101 
 155.558370	 20.589410	UGC5598 
 138.521300	 40.113700	NGC2782 
 313.147650	 -5.711130	NGC6978 
 248.087330	 19.826560	NGC6181 
 85.519370	 69.378440	NGC1961 
 190.469670	 41.273960	NGC4625 
 248.606170	 21.540890	NGC6186 
 206.937460	 38.304630	NGC5303 
 137.025830	 78.085170	NGC2715 
 209.658260	 37.424480	NGC5395 
 149.715210	 19.214980	UGC5359 
 3.963670	 16.089780	UGC148 
 181.392460	 50.539030	NGC4088 
 109.015380	 64.708920	NGC2347 
 308.718010	 60.153910	NGC6946 
 20.662500	 34.436940	IC1683 
 170.429500	 20.169550	NGC3646 
 190.927630	 16.393390	NGC4651 
 244.696530	 7.410890	NGC6106 
 325.553290	 5.615310	UGC11792 
 143.042120	 21.500830	NGC2903 
 181.015960	 31.895810	NGC4062 
 169.732980	 13.092360	NGC3623 
 309.308710	 66.105640	NGC6951 
 262.589250	 59.639880	NGC6394 
 232.002810	 64.763200	NGC5949 
 350.125540	 17.225560	NGC7625 
 30.936790	 38.258720	NGC801 
 191.285800	 -0.461890	NGC4666 
 175.413730	 24.800500	NGC3815 
 184.739600	 47.303970	NGC4258 
 185.303710	 18.382390	NGC4293 
 350.011540	 15.952750	UGC12519 
 190.633460	 -0.082600	NGC4632 
 219.575480	 3.410330	NGC5692 
 29.831580	 19.007530	NGC772 
 72.154750	 -6.319970	NGC1667 
 140.510980	 50.976520	NGC2841 
 198.955540	 42.029280	NGC5055 
 128.345170	 -22.973670	NGC2613 
 115.309790	 27.614140	UGC3969 
 113.759420	 32.822110	NGC2410 
 217.132340	 27.408960	NGC5635 
 349.567830	 6.585810	NGC7591 
 189.451620	 5.368520	NGC4580 
 133.172200	 33.421740	NGC2683 
 154.978970	 45.549620	NGC3198 
 188.535090	 2.653660	NGC4527 
 38.555750	 29.311280	NGC972 
 348.554920	 13.426390	NGC7536 
 41.579370	 -30.274890	NGC1097 
 161.690580	 11.819940	NGC3368 
 114.652090	 37.633510	UGC3944 
 43.990000	 6.494810	UGC2405 
 130.908660	 50.205560	NGC2639 
 41.499620	 -7.578470	NGC1084 
 173.145220	 53.067920	NGC3718 
 189.207470	 13.162940	NGC4569 
 119.804380	 32.914680	UGC4132 
 210.708460	 49.172690	NGC5448 
 159.691080	 53.503380	NGC3310 
 338.527960	 5.569890	NGC7311 
 266.591210	 26.543750	UGC10972 
 114.214170	 65.602560	NGC2403 
 348.682880	 4.534360	NGC7541 
 359.032600	 0.549480	NGC7787 
 2.485580	 -24.963140	NGC24 
 250.765620	 36.832420	NGC6207 
 34.498500	 14.544060	NGC877 
 349.813870	 8.350140	NGC7608 
 186.612920	 31.223530	NGC4414 
 23.575710	 -29.418360	NGC613 
 137.583830	 7.037940	NGC2775 
 37.092210	 23.214670	UGC1938 
 23.773670	 -7.340310	NGC615 
 150.418670	 10.756440	UGC5396 
 34.294710	 14.547830	NGC871 
 186.798380	 9.420670	NGC4424 
 350.361130	 8.217640	NGC7631 
 194.181840	 21.682970	NGC4826 
 345.514270	 27.052640	NGC7466 
 136.889710	 60.479330	NGC2742 
