PanStarrs_name,dr7objid,ra_panstarr,dec_panstarr,ra_sdss,dec_sdss,spherical_cos_distance
NGC5101 ,587725039026962554,3.4983845529884623,-0.4787530640670802,3.491942714432872,-0.0631496050985905,0.9148544662026715
NGC5905 ,588011103713361952,3.994136600371192,0.9689607240149991,3.994138796838315,0.9689594091261375,0.9999999999983624
NGC4682 ,587725039023423702,3.347795276198364,-0.17564016207689814,3.350584674249236,-0.06487337743406467,0.9938678069904011
IC2487 ,587741707795824842,2.487760725333256,0.35065148202430274,2.487760568764551,0.35065142137612537,0.9999999999999875
NGC5934 ,587733409915666522,4.050093077920606,0.7492684516177641,4.050091867103028,0.74926792195772,0.9999999999994668
NGC4647 ,588017702398263454,3.3315649358852935,0.20214176503795567,3.3312260149048996,0.20031693894845237,0.9999982798661219
NGC2776 ,587731522281668676,2.409609768350856,0.7846099727072476,2.409610136079704,0.7846103016804017,0.9999999999999121
IC1256 ,587729781203402833,4.554386592129671,0.4622771559282537,4.554384354112996,0.4622773543673132,0.9999999999979741
UGC4284 ,587725774534869026,2.158398944057706,0.8562883761586272,2.1583993880849657,0.8562883084010431,0.9999999999999554
NGC5732 ,588017604159209500,3.8425570237635114,0.6743571747929155,3.842557080387473,0.6743573240594369,0.9999999999999879
NGC289 ,587727177918120074,0.22997330888903283,-0.544644479317622,0.22509212172718365,-0.19472123230156932,0.9393890317702183
PGC26517 ,588010359605887231,2.452639290262449,0.0680203678721246,2.452639020908613,0.06802022765448487,0.9999999999999541
UGC5358 ,587738409251373097,2.6126954074482898,0.19877013798895302,2.612685107200208,0.1987758215028343,0.9999999999328697
PGC15531 ,587724242846613710,1.195269888672395,0.01943459028680726,1.099538307727001,-0.07286103294578965,0.9911780230320022
NGC5394 ,588017978901528618,3.6589120836052667,0.653686716862771,3.6589109737329246,0.6536876866701247,0.9999999999991417
NGC628 ,587724234254254239,0.42191502071248327,0.27547683501532816,0.42262610091566466,0.2692568540855351,0.9999804214616412
UGC4622 ,587731521742438512,2.314029080793414,0.7206361507058718,2.314029697935956,0.720636331464369,0.9999999999998762
NGC3893 ,587732482210594857,3.0920099439357367,0.8501643648792295,3.0923721884880475,0.8500470829125383,0.9999999645508499
PGC72453 ,587727223559880868,6.231146395669199,0.30499489052260753,6.2345160079119095,0.28084046718377664,0.9997030931195356
NGC4814 ,587731892191952986,3.383171180274112,1.0182968186457488,3.3831694918428203,1.0182967061245343,0.9999999999996011
UGC9965 ,587739707954888840,4.102015401436961,0.36094473582086456,4.102015427905543,0.3609444660040118,0.9999999999999634
NGC217 ,587727226231455809,0.1813610022990852,-0.17490694925813535,0.18136110137154476,-0.1749069439806454,0.9999999999999952
NGC4487 ,587725039021523052,3.277179952794374,-0.1405674216922217,3.2746650835604005,-0.06505723477100055,0.9971473357101758
IC467 ,587738068350927055,1.964832854299424,1.3940386303979464,2.609535011236931,1.2264233456404714,0.9740697417415801
NGC477 ,588848899934388352,0.35491060899794447,0.706652223673043,4.007879904552684,-17357.919293075716,0.9170451633304988
PGC33465 ,588017110216671302,2.899934190825733,0.7875836646867955,2.8999340991977625,0.7875832397919986,0.9999999999999076
UGC3091 ,587724242846613710,1.195269888672395,0.01943459028680726,1.099538307727001,-0.07286103294578965,0.9911780230320022
NGC6941 ,587727215220425129,5.394774320670929,-0.0806122202935629,5.394774394790612,-0.08061224523279215,0.9999999999999969
NGC1358 ,587724242842484912,0.9322728559405271,-0.08882678695099941,0.9348336950523608,-0.0941390201715476,0.9999826385641675
PGC36925 ,587725819097055310,3.0950396609842734,1.2968178569424054,3.130034444050646,1.1981449213315387,0.9950754621614756
PGC02162 ,587731187818496165,0.1580214123438658,0.029887716242851695,0.1584917452591486,0.021596091613881138,0.9999655141461059
NGC4490 ,588017947205435524,3.2751277946598796,0.7268231683712666,3.274532012186718,0.7254522037088421,0.9999989609961447
IC674 ,588017604678909995,2.9282525070051917,0.761539687055611,2.9282524094821447,0.7615395578791994,0.9999999999999891
NGC7824 ,587731187815284845,0.022269877656672047,0.1207787041001848,0.030662486316244526,0.022013902722853033,0.9950917675935721
NGC2552 ,587725980687859743,2.1787913710380074,0.8728327012041318,2.178791626219438,0.8728322091967547,0.9999999999998657
UGC4499 ,588007005774151816,2.2588548598147433,0.901504446557119,2.258854626377549,0.9015044282972977,0.9999999999999893
UGC4036 ,587738068348895424,2.0591059411812718,1.2743641961154986,2.4333949573602456,1.1761284424642904,0.9874028152663772
NGC4204 ,588023670245425182,3.2080926651505055,0.36056041431957536,3.20809190664263,0.36056069499895066,0.9999999999997087
NGC5947 ,587733409915863108,4.060551788930257,0.7455549145682957,4.060551723805739,0.7455548699324391,0.9999999999999978
NGC853 ,587727779742810176,0.5745904895574904,-0.1624201656576671,0.5746198270680206,-0.16239184873090656,0.9999999991799823
NGC5520 ,587733397023883322,3.7192086714056156,0.8787457021769634,3.719210153416886,0.8787456966308359,0.9999999999995528
NGC5371 ,587736586036052237,3.646279565012257,0.7061909331517408,3.644334535813526,0.7078134292395928,0.9999975902858684
NGC5378 ,587738574073757740,3.651448183059113,0.6596862861665016,3.651448115939772,0.6596863929853537,0.999999999999993
NGC6509 ,587736920514363621,4.709863314424129,0.1097293736716591,4.48516966882333,0.3079824991746115,0.9566014100221293
NGC5971 ,587725816424366177,4.082390046662911,0.9854423917403571,4.082390521837282,0.9854424342912679,0.9999999999999647
NGC6155 ,587729231977447488,4.30284275901524,0.8441600831865186,4.30284252504401,0.8441598995065497,0.999999999999971
